"Probe set ID"	"GeneSymbol"	"1,1-DICHLOROETHENE_600ppm_1d"	"1,1-DICHLOROETHENE_600ppm_3d"	"1,1-DICHLOROETHENE_600ppm_5d"
"GE12207"	"Eif2d"	-0.291642433333333	0.223767083333334	-0.115238205128206
"GE12208"	"St3gal6"	0.295141733333335	-0.07538175	0.260854230769231
"GE12209"	"Fam111a"	-0.421576873333334	-0.165676233333333	-2.28698518205128
"GE12210"	"Pelo"	0.697036306666668	0.0888308333333327	0.408974487179487
"GE12212"	NA	0.563714833333334	0.221648416666666	0.370604256410257
"GE12213"	"B3galnt1"	1.44697692	1.10746026666667	0.254954482051282
"GE12214"	NA	0.217926166666667	0.575029275000001	-0.415824246153846
"GE12215"	NA	-0.0811722433333335	-0.7519469	-0.119685166666667
"GE12216"	NA	1.04359515	-0.237408666666667	0.636829820512819
"GE12217"	NA	-0.4133345	-0.0346983750000001	0.337406502564102
"GE12218"	NA	-0.122100250000001	0.817063858333333	-0.0388264435897439
"GE12220"	"Ndufb3"	0.0744822999999997	-0.11959925	0.0988885512820499
"GE12221"	"RGD1311756"	0.0559193966666669	0.241802141666667	0.0908291820512819
"GE12222"	"Tbc1d2b"	-0.247026333333334	-0.0950014166666673	-0.382670653846155
"GE12223"	NA	0.00339935000000047	-0.0723981499999997	-0.138460256410257
"GE12224"	"Snrpd3"	0.140422733333333	0.57371	0.155873269230769
"GE12225"	"U2af1l4"	1.1736178	0.0516579166666666	0.553709794871793
"GE12226"	"Lad1"	0.23702886	0.190007466666667	0.356251720512821
"GE12227"	"Mrfap1"	-1.0679406	-0.0981561666666657	-0.437564384615385
"GE12228"	"Ddx50"	-0.382724583333335	0.0350764166666657	-3.45590141564103
"GE12229"	NA	-0.2940743	0.167638416666666	-0.331665384615386
"GE12230"	"Sirt2"	0.386283746666666	0.223709491666667	0.236788923076922
"GE12231"	NA	-0.750345966666666	0.107812508333333	-0.466751923076924
"GE12232"	NA	-0.211289716666666	0.136594624999999	0.00474570512820449
"GE12233"	"Fyco1"	-1.03334142	-0.0268352333333333	-0.622740330769231
"GE12234"	NA	2.20266389433333	0.774798537500001	0.0608472435897447
"GE12235"	NA	0.82539026	0.0286422916666664	0.23120637948718
"GE12236"	NA	1.092223411	1.30003974583333	-0.338272333333332
"GE12237"	"Slc12a7"	0.1268172	-0.290878416666667	-0.00836876923076879
"GE12238"	"Sephs2"	1.80661872766667	1.06837637083333	-0.396189794871795
"GE12239"	"Ndufb5"	0.152413199999998	0.378842416666666	0.128225243589743
"GE12240"	"Snapin"	0.0854173666666664	-0.189332291666668	0.268448730769231
"GE12241"	NA	-0.297157893333333	-0.314449566666666	0.303822272051282
"GE12243"	"Supv3l1"	-0.13049475	0.152393725	-0.0546004615384614
"GE12244"	NA	0.0742323033333339	0.567361883333334	0.0167523333333346
"GE12246"	NA	-0.0741129233333337	-0.198082733333334	0.0147693000000002
"GE12247"	"Rab6a"	-0.488656600000001	-0.0109798333333337	-0.239828038461537
"GE12248"	NA	0.399326413333333	0.158871075	-0.134309246153846
"GE12250"	"Mllt10"	-1.18724778333333	0.688136408333333	-0.992486320512821
"GE12252"	NA	0.34578044	0.0677398166666672	-0.00976939230769247
"GE12253"	"Prkch"	-0.184769203333333	-0.00717950833333347	-0.220826823076923
"GE12254"	"Il16"	2.21116816433333	0.7401970625	0.220216676923077
"GE12255"	"Anapc15"	0.9620114	0.0688886666666662	0.516194166666667
"GE12256"	NA	0.4536038	-0.542231333333334	-2.91650242717949
"GE12257"	"Mrpl41"	-0.0866678333333333	1.14591494166667	0.0469466923076922
"GE12259"	"Neurl2"	2.477156361	0.331481762500001	0.18055471025641
"GE12260"	NA	0.501843033333333	0.0856295749999987	0.461505158974358
"GE12261"	"Champ1"	0.00927949999999989	-0.598674858333333	0.388145253846154
"GE12262"	"Coq4"	0.927538353333333	-0.653484099999999	0.6577305
"GE12263"	"Asah1"	1.3521623	0.573027699999999	0.347801435897436
"GE12264"	NA	-0.349934116666667	-0.00115471666666611	0.274039687179487
"GE12266"	NA	-0.867305016666667	-0.0951786916666677	-0.0354248589743591
"GE12267"	"Copz1"	0.321532233333333	-0.484495291666667	0.530690846153846
"GE12269"	"Prr13"	0.540877716666667	0.0654032916666658	0.495318692307693
"GE12270"	NA	-0.77273082	0.15798965	-0.250061786666667
"GE12272"	NA	0.7232977	0.557991958333332	0.451956038461537
"GE12273"	"Nrbp1"	0.271979799999999	-0.107049333333332	0.268924948717949
"GE12274"	"Arl6ip5"	0.265490766666666	0.493523999999999	0.118710628205129
"GE12275"	"Mypn"	0.380654146666666	-0.564059825	-0.321941682051282
"GE12276"	"Fam104a"	0.6527864	-0.217189691666666	0.419001551282051
"GE12277"	NA	1.38546720666667	-0.109305766666666	0.463677625641025
"GE12278"	"Ppp1r3c"	-1.2191805	1.15926107916667	0.47295908974359
"GE12279"	"Ap4s1"	0.687119066666666	-0.277187458333334	0.477813692307691
"GE12280"	"Med4"	-0.0931277999999995	0.425036583333334	-0.0438639487179486
"GE12281"	"Guk1"	0.229408016666666	-0.0635279583333332	0.334268628205129
"GE12282"	"LOC100360120"	2.00997023666667	0.439031641666666	0.99954508974359
"GE12285"	"Rpe"	-0.900856066666666	-0.529924416666667	-1.00634085897436
"GE12286"	NA	-2.36966195	-0.0633335833333337	-1.50737801794872
"GE12287"	"Wdr83os"	0.299289150000002	-0.0380294166666655	0.290302538461537
"GE12288"	NA	-1.71569268333333	0.557574591666667	-0.539883238461538
"GE12289"	"Zfp189"	-1.03115753	-0.169714474999999	-0.259630082051283
"GE12290"	"Ugt2b10"	-1.1033897	0.746454025	-0.98711905128205
"GE12291"	"Dnajc15"	0.668971166666667	0.0749517499999985	0.60306323076923
"GE12292"	"Mettl7a"	0.237816942666667	0.0396028749999999	-0.493456948717949
"GE12293"	"C1qc"	0.426199100000002	-0.212640333333333	1.34950936153846
"GE12295"	"Ube2q1"	-0.42693493	0.737808025000001	-0.193859935897436
"GE12296"	NA	0.951761836666667	-0.217430441666667	0.652337641025642
"GE12297"	NA	0.25177722	-0.165817991666667	0.000764399999999554
"GE12298"	"Atp5sl"	-0.259980366666666	0.0336704583333329	-0.189836512820515
"GE12299"	"LOC683192"	0.23590611	-0.443072891666667	0.881410570256411
"GE12300"	"Slc35b3"	-0.448521966666666	0.0234984166666674	-0.215566871794872
"GE12301"	NA	-0.498326500000001	-0.0135660416666674	-0.335529602564103
"GE12302"	NA	0.00601950000000073	-0.155296666666667	0.0818013846153853
"GE12303"	NA	0.652024463333333	-0.428432983333333	0.442436138461538
"GE12304"	"RGD1306941"	-0.691357333333332	-0.0366703333333334	-0.145948487179487
"GE12305"	NA	-0.1885485	0.0395611666666671	0.0241254102564099
"GE12306"	"Scamp2"	0.166852513333332	-0.476658333333335	0.0982717307692305
"GE12307"	"Nrarp"	-1.24539536	0.315600708333332	-0.414966004102564
"GE12308"	"Reep5"	1.2875992	0.677571583333334	0.468759794871795
"GE12309"	"Abhd13"	-0.258910913333334	-0.173655375	-0.276022271794872
"GE12310"	"Lbh"	0.890750649999999	0.328481958333334	0.0150062820512815
"GE12311"	NA	-0.265165720000001	-0.607380500000001	-0.312318687179487
"GE12312"	NA	-1.1019734	0.749534258333334	-0.377665846153846
"GE12313"	"Pkp4"	-0.401190283333333	-0.134410958333333	-0.302673384615385
"GE12314"	NA	-0.684613566666666	0.205657708333334	-0.284878538461539
"GE12315"	NA	0.805523233333334	0.242728333333332	0.379639833333332
"GE12316"	"Gpatch2l"	0.58633123	-0.733852916666667	0.394926338461539
"GE12317"	"Fgfbp3"	-1.1438595	0.442709383333333	-0.437739197435898
"GE12318"	"Dcakd"	0.294978833333333	-0.207388833333333	0.272715333333334
"GE12319"	NA	0.89527448	0.493384066666667	0.680645433333333
"GE12322"	"LOC100909949"	-0.235451183333334	-0.335059833333332	-0.0303122512820515
"GE12323"	NA	-0.0456566366666662	0.24128666	0.289078697435897
"GE12324"	NA	-1.10522225	-0.318400521666667	0.279037953846154
"GE12325"	NA	0.45861841	0.000722833333332673	0.0747545769230769
"GE12326"	NA	-0.386352443333334	-0.25454935	0.0625305256410256
"GE12327"	NA	1.02976134333333	0.631261316666667	-0.0954792923076928
"GE12328"	NA	-2.17299768	-0.252852508333334	-0.60901745897436
"GE12329"	NA	-0.926695420666667	-0.178520066666667	-0.198317841025641
"GE12330"	NA	-0.552790793333333	-0.281341675	-0.470712892307692
"GE12331"	NA	0.0483848333333334	-1.25657613333333	-0.044083735897436
"GE12332"	NA	1.08837139	-0.0949367583333327	0.156145702564102
"GE12333"	"Imp4"	0.559649333333333	-0.208268416666666	0.398029512820512
"GE12334"	"Zfp260"	0.539221306666667	-0.247494208333332	-0.517933128205128
"GE12335"	"RGD1306820"	0.453695399999999	0.0660663333333336	0.0737767948717956
"GE12337"	"Ptgfr"	1.0173202	-0.27703075	0.250732107692306
"GE12338"	NA	-0.17590103	-0.227037983333334	-0.436696417948718
"GE12339"	"Ctnna1"	0.663984936666667	0.404167733333334	-0.349804523076923
"GE12340"	"Snx2"	-0.209656066666666	0.516954583333334	-0.216051333333333
"GE12341"	"Slc25a25"	0.934867533333334	0.349973416666666	0.106562974358974
"GE12342"	NA	0.6887554	0.49227775	0.0789733589743591
"GE12344"	NA	0.968753306666666	-0.276733225	0.664401646153847
"GE12345"	NA	-0.1967787	0.0310919750000007	-0.039338879487179
"GE12346"	"Cbln2"	-0.297572456666666	-0.347193016666667	0.109777962051282
"GE12347"	NA	-0.0106800933333329	-0.324148000000001	-0.00272234615384548
"GE12348"	NA	0.335495830000001	-0.354202866666666	-0.0229191128205128
"GE12349"	NA	-0.440172976666666	0.216478641666667	-0.634477417948718
"GE12350"	"Rnf144b"	-1.29780656666667	-0.125372666666667	-0.854895794871796
"GE12353"	NA	0.736582465466667	0.00249233333333354	-0.149796558717949
"GE12354"	"Hexa"	0.867247833333332	0.164197875000001	0.502934615384616
"GE12355"	NA	0.263183986666666	-0.166915533333333	0.267458930769231
"GE12356"	"Snx14"	-0.398967683333334	0.247311216666667	-0.000682743589743851
"GE12357"	NA	0.551643166666667	-0.0297458749999997	0.144715923076923
"GE12358"	"Tbca"	-0.0840547166666656	0.810017791666665	1.28112749333333
"GE12359"	NA	-0.6504286	-0.234564416666666	0.047831115384616
"GE12361"	"Tmem161b"	-0.205614266666666	0.740273283333333	-0.122655456410256
"GE12362"	"Gars"	-0.029378366666668	-0.142821583333333	0.142728179487181
"GE12363"	"Dram2"	-0.169840233333334	0.0565627499999994	0.0388613333333332
"GE12364"	NA	0.71773843	0.0365749416666663	0.39558377948718
"GE12365"	"Sln"	-0.395855443333333	-0.5018069	0.2559505
"GE12366"	"Fbxo11"	0.10406815	0.345360208333334	-0.224265615384617
"GE12367"	NA	0.391314226666666	-0.556241175	0.630601723076922
"GE12368"	NA	0.298178696666666	0.660674916666666	0.196256153846154
"GE12369"	"Eif1ax"	-0.835556733333332	0.619983433333333	-0.387282666666666
"GE12370"	"Ptpn13"	0.317969313333333	-0.549587183333333	-0.390975897435898
"GE12371"	"LOC501445"	-0.0475468666666679	-0.141688166666668	-0.0174646538461527
"GE12372"	NA	0.0727323499999999	0.0991507166666672	-0.278955261538461
"GE12373"	"Dapk1"	0.615174183333332	0.446857749999999	1.10387152461538
"GE12374"	"Rdm1"	1.10793396666667	0.184072275	0.576839189743589
"GE12375"	"Zfp385b"	-0.272548793333333	0.147049591666667	0.200312153846154
"GE12376"	"Tnfaip8"	-0.503765546666666	0.811415916666666	-0.482260161538462
"GE12377"	"Baz1a"	0.0563938633333336	0.158481833333333	-0.19391332051282
"GE12378"	NA	0.0455447074666666	0.661943668333333	-0.319215327948718
"GE12379"	NA	-0.3502066	0.414449333333334	-0.422120628205128
"GE12380"	"Slc30a5"	-1.13808737333333	0.733190633333333	-0.393406294871795
"GE12382"	"Mrps24"	0.162720533333333	-0.324597916666667	0.258904641025641
"GE12383"	NA	0.0811815900000008	0.639202183333333	0.245693387179487
"GE12384"	"Lrrc41"	1.292502816	-0.232376041666667	0.137209910256411
"GE12385"	"Rit2"	0.256020693333333	-1.92881859	-1.23071410205128
