ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
(-)3xSLv1 	 NegativeControl 	1.350879	1.648673	1.728847	1.511524	1.123121	1.257557	1.700734	1.155665	1.601871	1.661019	1.643408	1.604354	1.157559	1.51897	1.191862	1.305966	1.638959	1.619778	1.561233	1.392593	1.663912	1.48392	1.44619	-0.09132631	0.2177225	-0.271319	0.03772985	0.4528764	0.2699925	0.02259703	0.8328119	0.7923557	0.928386	0.306051	0.9646805
SCorner3 	 SCorner3 	14.47353	14.53785	14.37781	14.39429	14.0625	14.26919	14.37693	14.23268	14.32311	14.34814	14.39499	14.20092	14.19275	14.28732	14.10976	14.26653	14.05086	14.15489	14.07494	14.33528	14.34969	14.2184	14.14086	0.1168846	0.2088287	-0.01440546	0.07753858	0.1689583	0.01439217	0.8251192	0.2500884	0.5635289	0.928386	0.9749564	0.8373919
miRNABrightCorner30 	 miRNABrightCorner30 	13.55572	13.24526	13.14256	12.84673	12.75378	12.64031	12.83715	12.72912	12.96947	12.83917	13.04112	12.65964	12.86464	12.59748	12.49351	12.50135	12.56859	12.49634	12.25677	12.94401	12.98373	12.64362	12.53925	0.3003936	0.4444837	-0.03972515	0.1043649	0.0737562	0.1118585	0.8020616	0.6312335	0.4840295	0.928386	0.9739028	0.9229399
A_54_P2868 	 mmu-miR-671-5p 	4.155654	3.581262	3.260595	3.514067	2.451898	4.153848	3.958364	4.417887	2.848236	3.673006	2.515232	2.879107	2.831817	2.298897	3.342343	4.107407	2.761257	3.441091	3.125084	3.747569	3.260612	2.984041	3.132664	0.7635281	0.1279482	0.4869565	-0.1486234	0.06086941	0.6896833	0.2046469	0.6562723	0.4652592	0.9605641	0.8221174	0.937587
A_54_P3669 	 mmu-miR-30b 	8.080748	6.929523	7.707121	7.369058	6.880042	6.599782	7.379472	7.198266	7.083911	6.234721	7.265978	6.793652	7.520217	6.86169	6.756039	7.52906	7.067054	7.261524	7.076361	7.20527	7.008584	7.045579	7.286034	0.1596913	-0.27745	0.1966859	-0.2404554	0.4829598	0.5884478	0.7022164	0.2314739	0.8155434	0.9375173	0.9676963	0.8234925
A_54_P2317 	 mmu-miR-146a 	6.311774	5.15826	7.329283	5.81219	5.644645	5.847433	6.414794	6.65084	5.208625	5.907449	5.946286	5.046277	5.087316	5.211378	5.227363	5.778067	5.298703	5.439214	5.947816	5.977134	6.148452	5.418012	5.491449	0.5591215	0.6570035	-0.1713184	-0.07343645	0.04269297	0.4095637	0.8140262	0.8140803	0.4391164	0.928386	0.9749564	0.9628045
NC2_00092197 	 NC2_00092197 	2.267002	2.91199	2.997214	2.35022	2.395512	2.893615	2.856349	2.350495	2.738637	3.094262	2.858896	2.649391	2.614021	2.96377	2.847341	2.3887	2.52195	2.927077	2.694912	2.575026	2.943371	2.705008	2.745337	-0.129982	0.1980343	-0.3683449	-0.04032862	0.3857333	0.23567	0.05188949	0.7687154	0.7444652	0.928386	0.4712787	0.9556333
A_54_P1145 	 mmu-miR-190 	2.367196	3.019413	2.916815	2.466393	2.579229	2.726718	2.980344	2.267636	2.124638	2.72531	2.62366	2.60429	2.074449	2.561602	3.025895	2.435371	2.463934	3.192266	2.759244	2.629561	2.588921	2.619125	2.67532	0.01043615	-0.08639875	0.04064043	-0.05619446	0.9422184	0.841828	0.8873004	0.8810845	0.986231	0.9712062	0.9829443	0.9721649
A_54_P2268 	 mmu-miR-101a 	8.000552	6.785897	7.994228	7.138436	6.493505	6.853077	7.044036	6.563455	7.258531	6.818615	6.960865	7.02494	7.569462	6.408723	6.724549	7.638509	7.208731	7.503168	6.891095	6.982708	7.357125	6.994386	7.321242	-0.01167773	0.03588302	-0.3744164	-0.3268557	0.9645135	0.934447	0.404248	0.2933776	0.986231	0.9761747	0.955219	0.8564537
A_54_P3153 	 mmu-miR-574-5p 	4.70625	4.344061	4.237389	3.514722	3.674791	4.161963	4.551084	4.481406	4.176107	3.816185	3.611801	4.132766	3.922685	3.732497	3.645222	3.617134	3.352884	3.739626	4.589676	4.204897	4.07656	3.682051	4.083996	0.522846	-0.007435569	0.1283364	-0.4019452	0.02653696	0.9811567	0.5692832	0.2550613	0.3531557	0.9925225	0.9676963	0.8446783
hur_4_27 	 hur_4 	10.42146	9.522528	10.23545	10.19663	9.189795	9.520656	10.19422	9.809056	9.70139	9.492744	9.654585	9.07732	9.291746	9.251924	8.375624	9.26409	8.937631	8.982948	9.230112	9.836336	9.809862	9.09353	9.168269	0.7428068	0.6415931	0.02647395	-0.07473966	0.01118153	0.08464414	0.9284683	0.7171753	0.2588086	0.928386	0.9922076	0.9510076
